Date,Time,Number,Message
7/22/2024,17:37:05,+918425937848,Is there a link of the CSI committee circulated ?
4/1/2024,05:36:44,+918425937898,Not yet
7/9/2024,04:29:30,+918425937878,Guys any idea Wednesday ko holiday hai ki nhi ?
11/30/2024,15:17:34,+918425937839,Most are saying it's a holiday but not confirmed
9/10/2024,23:08:25,+918425937879,Hod ka mail ayega ig
12/19/2024,09:44:57,+918425937839,Holiday* ka bhi short form?! 🤦😆
11/5/2024,19:01:25,+918425937820,Head of department
1/14/2024,17:24:10,+918425937876,Head of department - Hod
8/19/2024,10:57:00,+918425937858,Arey bhai HOD bol rha vo <This message was edited>
12/21/2024,14:27:37,+918425937891,aka harsha ma'am
3/26/2024,09:07:17,+918425937821,Any idea aaj sat 2 ke lecture mai kya hua?
8/6/2024,06:19:12,+918425937828,IT c div wale?
6/20/2024,06:11:46,+918425937827,Ohh lol mb
1/1/2024,22:24:29,+918425937880,Pucha ki bunking kyu hoti hai kya kya reasons hote aur unke solutions dhundne ko lagaye
6/11/2024,00:01:42,+918425937882,😂😂 but bhai kuch imp nahi thana?
5/7/2024,12:31:32,+918425937866,Kyuki teacher 25 minute late aati hai 🤷🏻‍♂️
12/5/2024,17:10:18,+918425937861,Maine bunk mara tha
5/14/2024,19:45:55,+918425937896,Itna kuch important nahi bas bola next lec ke liye mobile kyu itna addictive hai likh ke laao
3/5/2024,08:57:12,+918425937895,Aur attendance Li end mai
1/3/2024,20:16:57,+918425937867,Yaane indirectly Mohammad ko target karri thi
1/12/2024,18:52:21,+918425937819,😂😂
6/3/2024,08:21:34,+918425937856,Haa bey jo dekho mujhe hi maarta hai
11/19/2024,16:04:10,+918425937818,Bc class mai woh ep ka sir meri bajaya 😂😂
2/15/2024,06:43:35,+918425937840,Maine racism kya kardi 😂😂
3/19/2024,02:18:09,+918425937886,💯
7/30/2024,23:23:41,+918425937880,@919892807086 kitni baat karta hai grp par 500 + message 😶😶😶😶😦.... junior college Mai bhi yehi karta tha tu 😂😂
7/24/2024,21:50:51,+918425937831,Senior ko jyada bully karne ka natija shayad 😂
9/18/2024,19:32:24,+918425937849,Kisne bola tha racism karne?
7/14/2024,10:23:56,+918425937828,😂😂😂 bhai bloodline hi aisi hai kya bolu
5/15/2024,22:23:17,+918425937891,😂😂 intrusive thoughts
7/27/2024,14:43:10,+918425937833,Ur msg has been ignored 😂😂😂
5/18/2024,20:33:32,+918425937815,Pfp sexy rakha hai
7/17/2024,02:38:38,+918425937868,"Are bhai , control kr aape intrusive thoughts 🤣"
11/11/2024,02:49:11,+918425937829,😂 bhai milte nahi ho tumlog
3/1/2024,07:08:03,+918425937876,Bhai thode bohot I can't 😂😂
11/24/2024,14:24:23,+918425937862,Professors ke saath personal issues ke wajah se bhi chalti h
3/10/2024,23:20:28,+918425937842,1st wala bhai
5/24/2024,23:36:56,+918425937859,🤦😆🤣
11/14/2024,11:51:24,+918425937823,EP ke lecture mai nahi bethne wala abse 😂😂😂
3/14/2024,06:44:01,+918425937879,Mask pehnke 😂😂😂
7/25/2024,21:14:01,+918425937850,Sab ek dusre ko naam poochte wakt puchte hai kahi tu mohammed to nahi hai ? 🫡🫡
8/8/2024,08:57:05,+918425937883,😂😂😂😂😂
4/12/2024,03:55:41,+918425937894,chatgpt pe daalde aur fir jo ana aayega usse quil bot m daalke rephrase karde
8/4/2024,03:53:42,+918425937811,ans*
3/1/2024,04:33:14,+918425937836,Maine toh bola ki mass bunk karne ko trend bana ke rakha hai isliye bache karte rehte 🗿
8/22/2024,13:58:44,+918425937811,Mereko kuch bande bole tu Mohammed haina kya cool hai 😂😂😂😂😂
3/16/2024,19:00:21,+918425937823,Bhai mera bhi mobile addiction pe hai meko bhi kar k dena
9/4/2024,06:52:42,+918425937847,😂😂😂
3/7/2024,23:47:16,+918425937817,Same here
8/29/2024,06:56:39,+918425937896,Konsa chapter chal Raha ep mai
5/3/2024,23:51:25,+918425937856,<Media omitted>
5/6/2024,15:02:46,+918425937869,Humlog ka toh 1module hogya 40min mai
1/1/2024,02:21:19,+918425937810,Kya pata light ka tha
11/4/2024,02:47:19,+918425937842,Intelligence x100
2/13/2024,03:34:40,+918425937882,💀 module????
11/1/2024,07:44:32,+918425937868,Haaaa na bc
3/23/2024,03:05:54,+918425937826,Council ke head ko tang Jo karke rakha tha 🙂🙂
7/4/2024,17:41:05,+918425937889,Sirf pdf read kar loya
7/15/2024,10:40:51,+918425937869,Bhai vo kya bol rahi thi kuch samaj nahi aa rah tha
9/25/2024,02:03:41,+918425937835,Liya
10/4/2024,13:53:24,+918425937849,Bhai💀💀 ye info kaha se leak ho rhi hai?
11/11/2024,10:04:51,+918425937851,Kal somaiya ka fit india something hai at 11am jaha staff race karta hai to apne ko college hai ya off hai?
1/29/2024,17:28:46,+918425937861,This message was deleted
6/28/2024,17:03:46,+918425937853,Yaha ki baat aur kaha leak ho sakti hai
12/27/2024,14:51:28,+918425937874,Maths mai toh sir ne boldiya YouTube channel hai uska subscribe kardo wahi se padhna 💀
3/3/2024,19:41:24,+918425937899,I didn't wrote hod se pechan hai meri 💀💀
7/20/2024,17:15:47,+918425937864,😂😂😂😂
4/20/2024,20:27:41,+918425937895,Mere class mai sab meko sahil sahil karne lage 😭
5/18/2024,00:39:19,+918425937844,Raat ke 4 baje takk assignments likhna padega
10/10/2024,15:29:12,+918425937821,Channel bhej de na Bhai
4/7/2024,11:33:53,+918425937845,1 din mai thodi complete karna hai
10/14/2024,21:19:01,+918425937825,Bhai vakwaas padha ta hai
11/28/2024,21:52:33,+918425937858,toh naam change karle chup chap
9/18/2024,13:07:33,+918425937850,Mai ek baar hi kardunga
4/13/2024,12:21:54,+918425937837,Sahi baat hai 👍🏻
12/7/2024,17:28:59,+918425937833,Bass bhai tere jitni speed cahiye
8/10/2024,20:09:13,+918425937854,Koi bhi YouTube channel le le Bhai
1/30/2024,05:20:02,+918425937863,❗
4/19/2024,11:23:36,+918425937819,😂😂 Mai slow hu
12/14/2024,21:34:21,+918425937814,Lifeboy use kar
1/11/2024,13:39:36,+918425937837,😂
10/16/2024,05:40:20,+918425937885,Iss mai bhi boy hai
3/29/2024,07:44:08,+918425937843,❗❗❗
12/8/2024,01:56:19,+918425937867,Koi ladki plz offend mat hona
12/28/2024,19:38:32,+918425937827,😔
8/19/2024,12:42:10,+918425937878,Tu tp nhi kari fir bhi idhgar hai I'm better than 😂😂
1/19/2024,15:45:52,+918425937857,~teesri baar ignore hona hai?~
12/26/2024,13:39:29,+918425937851,🙄🙄🙄 tu ja Re ... don't irritate
4/6/2024,10:19:42,+918425937818,🥴
7/4/2024,21:56:53,+918425937844,Vo Vidya vihar ka staff jaega humara nhi
2/3/2024,01:57:37,+918425937842,Dc
11/19/2024,18:45:13,+918425937836,Bc*
10/1/2024,19:57:00,+918425937853,Don't care*
8/7/2024,03:09:05,+918425937843,Kabhi vidyavihar staff vs sion staff Aisa hua hai kya ?
1/9/2024,17:29:57,+918425937832,Hona chaiye
11/9/2024,00:52:26,+918425937870,Hum karwanege
6/2/2024,21:49:15,+918425937865,vidyavihar staff jeetegi ez
6/20/2024,04:13:07,+918425937810,Itne pro hai wo log?
7/1/2024,11:32:22,+918425937827,Imposter sala
11/15/2024,07:24:13,+918425937864,And Wednesday most probably holiday nahi hoga
5/25/2024,07:19:39,+918425937832,Another bunk day then
5/30/2024,16:49:58,+918425937815,Fir bhi college aadha khaali hoga 🌚🌚
11/27/2024,23:56:04,+918425937812,😂😂 kyu bhai?
7/16/2024,13:27:29,+918425937853,🙂
6/21/2024,15:22:53,+918425937885,Teko Itna confidence hai ladko tuje rakhi bandhegi?
10/29/2024,06:06:06,+918425937833,Mai Taj mahal mai majdoor tha bhai
10/1/2024,09:40:05,+918425937840,Darr nahi lagta ab 😂😂
5/4/2024,13:27:56,+918425937817,High five for this ✋🏻
7/5/2024,09:18:03,+918425937846,😭😭
1/26/2024,23:43:14,+918425937880,💀💀
11/4/2024,08:36:05,+918425937859,Third leg 🫦
11/8/2024,19:01:47,+918425937831,Wtf?
8/3/2024,22:16:35,+918425937857,You wont get it just a homiesexual thing 😼
6/22/2024,06:59:27,+918425937889,Tanisha crying in corner
9/11/2024,07:10:48,+918425937889,Tanish*
5/30/2024,04:30:25,+918425937836,Bhai aaj tanish ko kn boluga already class mai bohot bola hai
12/6/2024,20:29:58,+918425937895,Tanish ai ds wala hai?
1/28/2024,10:39:40,+918425937824,BC mai kuch nahi bola ajj
12/14/2024,19:33:21,+918425937893,Ua
12/26/2024,22:13:39,+918425937894,Haaa
4/26/2024,16:43:13,+918425937882,Bhai sab humor wale ai ds gaye 😂😂
6/24/2024,00:55:04,+918425937853,Smart log haina 😼💪🏻
5/2/2024,12:07:49,+918425937880,% kaam aye the bhai 😂😂😂
6/9/2024,11:31:40,+918425937824,Humlog ko aids pasand hai
7/5/2024,02:25:16,+918425937895,Mission aids
1/8/2024,08:58:26,+918425937883,Itna bhi sach nai bolna tha 🤫
11/2/2024,03:49:45,+918425937817,Aids wow
11/23/2024,09:45:35,+918425937896,Inside
1/9/2024,21:58:40,+918425937887,Bhai needles se dur reh
5/27/2024,11:34:10,+918425937873,Used needles*
2/6/2024,18:28:53,+918425937889,And meko toh recently stiches aaye hai mere se sab zyada dur raho
5/27/2024,03:10:32,+918425937866,💀💀 bhai tereko bolana chori buri baat hai
6/15/2024,19:06:39,+918425937887,Kyu karta hai 💀😂😂
2/11/2024,17:18:56,+918425937867,Pata nai 😭
2/24/2024,17:28:02,+918425937812,Khud figure out kar rha hu lol
12/7/2024,03:05:24,+918425937876,Thodi bhi nai 😘
